pathway	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
PWY4FS-7	454.9464	927.8741	780.8269	1000.0766	518.3952	1027.2293	666.277	1627.6572	809.7106	2020.8995	1361.5842	2480.6229	917.1223	1035.2031	568.4314	890.2833	303.0803	218.1675	307.8362	437.6632	608.5723	386.8934	669.2885	856.5312
PWY4FS-8	454.9464	927.8741	780.8269	1000.0766	518.3952	1027.2293	666.277	1627.6572	809.7106	2020.8995	1361.5842	2480.6229	917.1223	1035.2031	568.4314	890.2833	303.0803	218.1675	307.8362	437.6632	608.5723	386.8934	669.2885	856.5312
PYRIDNUCSAL-PWY	1050.2667	1082.0224	1102.5588	1453.1106	1140.6889	1119.7495	519.8024	1491.7746	1210.137	2458.6743	1165.4202	2411.3947	239.2386	1098.5422	622.7359	1416.5913	895.1495	1079.8859	1690.3137	1367.2247	1726.7422	744.2232	1307.0412	1411.9399
PYRIDNUCSYN-PWY	1275.5521	1119.2232	1117.0649	1170.8296	1362.0305	1509.8391	1290.732	2328.3047	1873.4162	3185.5678	1703.8223	1707.9538	969.11	1638.7634	913.553	1861.8418	1296.4395	1387.7479	1992.4288	1676.9099	2018.5268	1145.8094	1728.5107	1619.2384
PYRIDOXSYN-PWY	0.0	0.0	0.0	0.0	0.0	41.8035	51.6135	440.3933	303.6567	273.1806	259.4714	0.0	0.0	240.2955	58.2957	254.9888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8291
RIBOSYN2-PWY	1299.1917	1482.4169	1268.7852	1289.817	1530.5961	1540.8275	1330.6057	2444.2298	1913.9742	3295.8297	1779.7115	1748.2229	1076.7398	1700.7609	946.4838	1920.7231	1332.3747	1408.5215	2032.5025	1683.7861	2034.2739	1164.1857	1871.1386	1650.2085
SER-GLYSYN-PWY	1281.8555	1182.0208	1144.6443	1438.8534	1386.8565	1530.0562	1304.7927	2395.9142	1879.9959	3106.6368	1650.8452	2739.2274	1045.6432	1604.1012	968.4514	1829.8948	1265.5654	1405.5666	2030.4589	1677.1762	2017.7592	1058.3697	1693.3203	1631.9973
SO4ASSIM-PWY	69.0208	63.2343	34.0965	0.0	25.0842	34.3855	61.7719	289.4817	198.9432	275.5274	249.3997	0.0	0.0	156.4436	64.8992	163.8268	18.8758	57.5839	82.9169	54.5479	27.5828	28.5056	127.1762	8.8565
SULFATE-CYS-PWY	145.4331	133.9167	73.8424	0.0	55.234	74.9785	130.9577	561.2347	393.0704	549.2329	463.9552	0.0	0.0	311.3618	134.6066	327.7218	41.6913	123.126	177.257	117.7775	60.9744	62.0488	262.2812	19.7522
TCA	363.6641	0.0	476.7569	690.4947	57.9672	732.3669	339.9113	878.5915	552.4987	1480.1839	948.4809	1085.3815	36.6869	712.7388	294.4771	571.1892	68.365	144.45	151.2366	413.668	577.6891	60.1179	123.7832	736.6479
TEICHOICACID-PWY	0.0	0.0	0.0	0.0	0.0	92.5237	36.4393	324.362	81.6626	193.8361	176.611	74.454	335.3536	38.5799	92.4526	85.4617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.793
THISYN-PWY	1432.1411	1240.8314	1121.7397	1260.4711	1567.2837	1435.6891	1440.3011	2415.7733	1966.1598	3098.5345	1707.3806	1767.2837	1111.9119	1713.2151	1057.5836	1821.0676	1475.9483	1540.0256	2171.839	1851.837	2201.6305	1312.2971	1990.118	1432.5181
THRESYN-PWY	1549.9692	1831.8379	1530.382	1827.1665	1886.9227	1807.0655	1627.4343	2962.4899	2273.0774	3779.0718	2011.6901	3176.6668	1384.7204	1910.2951	1195.8281	2196.9057	1591.4515	1680.3445	2439.2328	1981.6749	2405.6497	1359.4571	2222.0204	1940.4729
TRNA-CHARGING-PWY	1376.6509	1608.6289	1355.7199	1633.1393	1623.688	1670.3185	1459.6708	2826.5797	2070.0882	3609.7374	1993.8609	3014.0617	1406.2484	1889.9629	1113.7257	2096.5108	1379.9234	1464.301	2121.5764	1740.4174	2104.8465	1197.0036	1962.4118	1770.68
TRPSYN-PWY	1470.0665	1552.5092	1373.2332	1693.7216	1666.9665	1674.9611	1441.1847	2631.0849	2119.3066	3523.7826	1899.2781	3023.6165	1051.8703	1820.2005	1083.9983	2066.6376	1464.3807	1555.7445	2241.4996	1865.1633	2253.4225	1274.9034	2042.3648	1787.0485
UDPNAGSYN-PWY	268.8898	735.947	423.5199	790.6015	435.2771	305.6426	400.209	902.3305	351.1212	977.8913	660.5833	2014.2422	742.932	479.7351	413.0505	422.7607	215.2288	113.3943	187.925	93.3039	116.8263	280.5981	521.5746	293.0349
VALSYN-PWY	1596.8487	1861.0025	1571.9401	1905.7419	1843.6543	1813.6127	1554.6713	2743.7992	2186.4584	3777.8922	2043.7877	3390.4623	1132.2348	1896.6741	1167.4486	2128.4864	1569.9365	1639.2367	2361.0572	1979.4847	2395.3046	1397.7629	2272.9623	1916.2159
