pathway	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
P23-PWY	0.0	0.0	0.0	0.0	0.0	267.8396	92.4901	434.7333	210.1683	1151.4242	696.3335	193.9912	132.7669	331.4911	242.8019	276.4515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.9125
P4-PWY	235.5619	0.0	96.8967	397.4564	247.4438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.2535	99.2046	108.576	79.6186	117.4455	43.9017	560.2451	0.0
P42-PWY	1708.786	1577.0663	1326.411	1689.8585	1915.8978	1708.0264	1718.9606	3058.7146	2462.9509	3881.3441	2038.5394	2703.858	1378.5496	2054.2702	1341.2074	2394.8471	1743.3246	1837.6258	2634.7684	2112.1911	2490.2632	1523.2125	2404.0676	1946.4417
P441-PWY	391.6667	0.0	271.8307	755.9479	519.5719	432.4217	752.2239	740.7326	516.6177	1773.3341	1185.9349	1516.472	753.6856	493.9972	587.5552	418.5736	292.5615	241.6476	288.49	248.0574	308.3498	127.9589	733.958	506.9827
P461-PWY	51.2751	0.0	98.2498	285.8424	255.5786	154.2223	282.9568	280.9029	207.3085	718.6632	515.0265	392.4771	409.5624	195.5568	229.894	165.0525	102.451	94.2233	110.6665	29.8015	57.4141	17.8819	383.9079	196.9962
PANTO-PWY	1139.9361	1419.2935	988.1715	1116.2337	1429.627	981.2348	1148.6765	1745.6389	1394.7311	1956.1106	1218.6222	1544.8047	967.7666	1242.8255	906.1723	1172.0783	1173.1936	1163.0595	1605.3799	1379.592	1620.5719	1040.9374	1750.6621	718.2902
PANTOSYN-PWY	1178.2579	1446.439	1075.0306	1160.2545	1451.7525	1154.5849	1229.5844	2021.7639	1548.2904	2294.6078	1414.7531	1683.9642	1100.1188	1407.7646	944.5701	1349.0895	1202.6367	1220.4027	1696.3323	1464.04	1735.8548	1051.7541	1765.9348	885.5591
PENTOSE-P-PWY	388.7561	1051.2388	703.075	423.5455	650.1187	926.9823	309.6902	555.2363	275.3454	1262.3566	846.6875	15.9181	0.0	601.1829	7.9524	357.9787	221.0849	297.6482	398.0156	527.7571	683.292	104.1709	734.746	698.1721
PEPTIDOGLYCANSYN-PWY	1340.0246	1533.1774	1309.6128	1588.6798	1562.2947	1669.9474	1446.9472	2839.6791	2032.7277	3563.567	1970.0447	3009.8841	1483.5226	1869.1931	1101.3542	2065.5589	1337.9907	1433.3359	2078.6858	1706.1363	2063.5417	1154.9885	1886.1081	1761.3831
PHOSLIPSYN-PWY	946.9488	1299.4736	1172.481	1408.2644	919.0928	1574.6464	1181.0222	2539.913	1574.9646	3280.6772	1953.4387	2742.499	1360.1246	1723.665	945.0098	1694.1884	719.5815	594.147	819.8101	1055.6683	1373.3137	823.5672	1254.1675	1516.3441
POLYAMSYN-PWY	0.0	25.2494	23.4484	16.4957	16.6957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.7665	27.3237	52.8502	3.8684	16.1426	3.7822	5.8978	0.0
POLYISOPRENSYN-PWY	1278.0472	1309.5767	1141.0865	1385.864	1506.3458	1423.2918	1345.2995	2566.5704	1952.0658	3232.1228	1727.8452	2250.3933	1240.0345	1704.6321	1013.5825	1956.4062	1321.0948	1396.1491	2024.9378	1631.0266	1961.5012	1144.2895	1822.429	1582.0808
PRPP-PWY	0.0	0.0	0.0	0.0	0.0	192.4078	248.5866	1225.6997	724.0549	850.5267	710.3237	0.0	0.0	325.2595	233.6005	479.3423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.9286
PWY-1269	1113.8347	880.83	800.2386	956.674	1249.4213	1033.1347	1098.2848	2049.6299	1745.5414	2494.4075	1225.0113	1241.717	867.7104	1368.3851	802.1043	1700.3114	1202.9314	1324.3997	1919.6603	1485.9888	1745.6936	996.7068	1533.32	1260.0986
PWY-181	288.7237	0.0	51.8661	280.602	151.4724	67.3943	338.7323	139.3083	120.6903	705.9301	461.2474	534.2542	139.1328	100.8563	261.037	85.6405	317.3939	62.5482	60.8647	107.3635	104.9576	531.657	566.6942	88.1217
PWY-2941	0.0	35.4147	35.3142	23.7407	23.7416	439.0307	473.8684	1414.018	589.1986	1170.0731	797.9117	674.4193	1023.631	710.4441	378.8007	701.4075	39.1744	95.2275	183.3732	47.0686	39.461	23.6595	7.9764	401.631
PWY-2942	1463.5887	1633.792	1416.2234	1672.9884	1680.6053	1802.0889	1559.715	3025.5967	2205.5648	3868.8126	2135.1552	3063.1437	1524.3388	2023.1006	1173.4223	2238.6045	1464.0767	1557.9081	2252.8669	1866.6808	2256.9738	1279.3902	2053.9438	1906.8452
PWY-3001	1568.3867	1843.3934	1546.7387	1856.9373	1869.3739	1800.025	1580.3941	2843.0057	2235.4661	3778.5999	2024.4074	3235.4867	1235.4201	1904.8233	1178.3962	2169.0168	1582.7278	1663.6564	2406.5888	1980.7982	2401.501	1374.5247	2242.1207	1924.2771
PWY-4984	60.8445	741.4732	405.4413	296.6096	401.282	115.2226	35.8169	331.6963	84.2525	544.8149	344.5683	78.2748	99.5579	383.3295	125.233	314.4036	91.1865	53.127	100.3042	7.4373	45.6389	7.4257	381.6159	160.5661
PWY-5005	168.8709	0.0	16.6565	125.0936	54.2324	33.1446	204.4507	49.7717	44.9723	378.6818	238.506	319.8219	85.3654	37.9024	153.9221	30.8363	181.6258	28.5089	23.8488	63.5915	54.4416	354.9041	290.6498	51.1949
PWY-5022	0.0	16.2808	13.6201	0.0	9.2732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.8078	30.7924	53.4085	17.6407	13.139	8.9518	3.9232	0.0
PWY-5097	1403.5367	1611.2111	1351.5486	1671.6263	1614.6776	1706.3879	1505.4906	2789.982	1978.3017	3420.6295	2015.2816	3168.5756	1492.384	1890.5394	1156.8554	1908.1465	1377.0709	1437.2769	2033.1118	1761.4833	2123.9273	1212.664	1980.8975	1560.4803
PWY-5100	1402.5339	1761.9306	1503.1696	1799.0727	1663.9303	1669.1735	1406.8286	2615.324	1980.9211	3419.297	1869.956	3473.3889	1462.0377	1773.0181	1145.7434	1948.5899	1360.8655	1449.7464	2104.7444	1729.4179	2109.3357	1157.363	1977.1478	1745.919
PWY-5101	1739.6085	2010.0629	1700.6574	2094.5149	2004.1627	1966.7093	1684.1382	2973.528	2379.4176	4100.7536	2213.0194	3761.9738	1224.2587	2067.0933	1274.2259	2321.1184	1708.5434	1787.0147	2573.8114	2156.1031	2608.9469	1516.1365	2465.9939	2083.0259
PWY-5103	1534.1746	1769.5423	1499.0469	1819.4654	1771.6429	1736.6581	1485.9443	2624.4297	2106.8008	3623.7537	1951.9335	3221.2657	1077.598	1830.265	1117.8342	2058.4618	1512.8295	1584.4021	2281.9253	1910.3881	2311.5717	1339.0479	2177.1659	1842.6014
PWY-5104	1580.8635	1886.4907	1555.8166	2040.8313	1838.619	1736.6581	1485.9443	2624.4297	2106.8008	3623.7537	1951.9335	3759.9937	1083.8836	1842.4609	1183.2396	2058.4618	1523.8379	1590.4917	2294.0482	1911.1663	2316.4733	1339.8648	2234.8959	1843.7966
PWY-5121	1365.1686	1496.2482	1322.1932	1620.9059	1557.6081	1627.1341	1348.4577	2533.3374	1994.7219	3460.1356	1843.804	2940.2562	1061.4255	1768.1056	1017.6469	2013.4363	1355.9361	1454.6447	2110.0305	1741.7386	2113.4278	1171.7187	1889.2741	1777.145
PWY-5154	862.6592	1054.1459	891.5102	1164.3793	857.468	1041.512	903.7344	1512.0781	1065.9426	2350.4188	1382.6856	1910.0839	386.1471	1070.0545	715.2989	999.718	765.6282	362.0855	432.8651	749.5311	962.3339	932.0602	1300.3962	955.7042
PWY-5188	259.8484	746.1402	590.4936	342.3964	385.6613	610.9162	287.2918	541.6534	329.2147	1040.8883	734.8912	275.6531	56.7468	454.4428	153.8109	331.6206	195.6455	110.9946	139.2216	279.2231	403.5091	261.9377	486.3284	466.1742
PWY-5189	221.8675	702.6256	553.3579	262.7819	349.3906	568.6722	261.3035	494.5998	298.4818	957.9922	683.858	192.899	48.6633	412.301	121.7434	300.802	176.5615	99.529	124.7041	252.7651	366.6441	237.6747	441.4069	427.5331
PWY-5304	300.0	0.0	28.0	220.0	92.0	56.0	368.0	84.0	76.0	692.0	436.0	584.0	148.0	64.0	276.0	52.0	324.0	48.0	40.0	108.0	92.0	696.0	524.0	88.0
PWY-5345	0.0	0.0	0.0	0.0	0.0	53.1616	77.9951	517.1355	354.9272	380.1704	348.8915	0.0	0.0	280.353	84.6599	299.1214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.8219
PWY-5347	407.3858	0.0	47.693	326.065	150.0374	93.6098	478.6583	140.9057	126.6384	950.1203	575.9623	799.063	221.5989	106.6979	358.0089	87.9028	434.3507	80.5513	68.3186	174.7426	152.2685	689.3831	678.7288	144.1401
PWY-5384	0.0	0.0	0.0	0.0	0.0	33.1291	40.9842	386.4496	260.8863	227.9788	224.9494	0.0	0.0	204.3564	46.7166	219.7902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3352
PWY-5484	1242.7752	1648.8519	1260.2622	1414.8224	1613.8669	1699.9519	1553.98	3023.4635	2140.932	3568.8287	2119.8934	2854.0572	1506.1377	2017.9388	1201.1854	2109.8418	1286.5276	1328.7263	1817.4379	1478.8983	1702.8045	1093.6586	1896.8961	1556.1977
PWY-5505	421.5159	1317.5144	1034.0549	1220.2911	691.2974	1042.165	265.2483	477.1258	227.8903	1274.6717	869.7756	2694.0311	22.3575	598.0136	276.5995	308.8538	161.9677	184.5244	245.6818	468.2295	712.5208	41.553	621.4457	799.6112
PWY-5509	532.7042	665.717	709.9048	846.2201	539.3254	469.8011	146.0235	263.8936	134.6218	649.7995	466.4585	1440.6639	16.0233	292.1154	146.7678	164.9232	338.5121	423.9812	712.3651	726.7696	971.2883	343.1853	709.9413	344.3594
PWY-5659	1328.9977	1537.6757	1205.4484	1391.3059	1651.4503	1282.1258	1322.746	2705.8454	2063.6957	3275.969	1683.2189	1998.1747	1140.2393	1715.4123	1004.3397	2093.4163	1409.4184	1507.431	2228.5562	1700.7905	2028.8308	1217.2391	1988.5263	1585.9723
PWY-5667	1359.2887	1660.5082	1393.7362	1675.1874	1639.9583	1711.2239	1439.056	2833.0642	2045.0188	3611.9889	2010.769	3258.4909	1424.1176	1900.9666	1103.9065	2081.2875	1351.932	1436.332	2082.7994	1722.3135	2099.3992	1153.0016	1944.6832	1789.4662
PWY-5677	43.6381	72.2218	23.619	0.0	17.1485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3879	36.3604	52.6527	31.4531	17.0585	16.5134	88.7535	0.0
PWY-5686	1501.7348	1674.3475	1464.428	1743.3495	1720.0069	1895.94	1609.0351	3196.0643	2305.6007	4030.8679	2257.3826	3270.6157	1599.3116	2141.0994	1221.2612	2342.1233	1491.512	1599.4193	2310.0564	1924.835	2331.4937	1290.4013	2087.8315	1974.0717
PWY-5695	1495.3684	1659.2819	1400.4022	1676.7728	1775.776	1682.943	1548.5966	2800.6216	2144.8314	3592.3088	1898.779	2804.3093	1359.6165	1814.8505	1140.7528	2090.1719	1523.0325	1617.8663	2347.5685	1897.7261	2284.2698	1314.7097	2149.0862	1834.5827
PWY-5837	0.0	0.0	0.0	0.0	0.0	38.0748	47.0262	415.8663	286.1138	255.2961	241.5813	0.0	0.0	223.4857	53.0978	242.8165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2124
PWY-5838	0.0	0.0	0.0	0.0	0.0	122.9748	151.0615	1081.041	760.0679	746.6658	635.9184	0.0	0.0	604.1564	165.277	663.6727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.1054
PWY-5840	0.0	0.0	0.0	0.0	0.0	122.4866	148.1003	1039.313	690.3041	729.3726	622.1823	0.0	0.0	583.4789	161.6427	623.7624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.078
PWY-5861	0.0	0.0	0.0	0.0	0.0	83.815	103.1418	806.7494	555.8807	530.6096	470.291	0.0	0.0	440.4313	114.0882	483.6854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1239
PWY-5863	0.0	0.0	0.0	0.0	0.0	43.3684	53.4906	465.3748	320.5204	288.7592	271.2538	0.0	0.0	251.0778	60.2601	272.8982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0962
PWY-5897	0.0	0.0	0.0	0.0	0.0	108.8594	133.8653	994.9721	695.5916	672.6616	583.7165	0.0	0.0	552.042	147.353	604.5953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4994
PWY-5898	0.0	0.0	0.0	0.0	0.0	108.8594	133.8653	994.9721	695.5916	672.6616	583.7165	0.0	0.0	552.042	147.353	604.5953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4994
PWY-5899	0.0	0.0	0.0	0.0	0.0	108.8594	133.8653	994.9721	695.5916	672.6616	583.7165	0.0	0.0	552.042	147.353	604.5953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4994
PWY-5910	0.0	14.9175	16.0619	11.7163	11.4478	209.9194	197.9989	630.1943	222.3853	591.4362	418.2503	340.1503	541.2401	354.7702	184.7634	333.1334	18.8288	40.8562	75.6372	22.2239	18.6724	10.9539	3.9785	191.5418
PWY-5913	245.4502	0.0	416.5283	622.3499	20.928	724.5566	218.9262	681.5446	403.6782	1093.0402	796.4328	610.1545	490.5578	593.2316	232.2024	417.4866	25.872	78.855	73.3196	317.3631	462.1598	21.8945	46.7036	580.9501
PWY-5973	1505.9598	1651.1131	1460.6472	1778.8099	1708.3882	1721.126	1496.5864	2830.7845	2084.0326	3559.6992	1981.1452	3224.7566	1283.325	1792.0871	1110.7173	2000.5585	1461.9424	1568.4531	2300.5004	1919.6269	2336.0102	1303.328	2111.5786	1780.4892
PWY-6121	1595.5761	1755.1112	1479.4406	1819.4224	1834.3249	1917.7844	1777.0024	3253.7662	2434.9571	3847.8369	2163.4582	3489.1061	1474.8636	1977.4012	1293.64	2208.2315	1611.8619	1698.7449	2427.3163	2007.5505	2403.5209	1406.0948	2243.2953	1903.7803
PWY-6122	1520.1009	1655.2557	1429.4596	1758.6934	1731.0858	1825.8184	1672.8054	3118.7572	2311.9409	3693.1363	2075.5096	3373.3	1390.5627	1865.6881	1211.5419	2104.456	1522.464	1615.4456	2333.4681	1923.568	2314.9211	1340.5179	2129.4761	1838.4596
PWY-6123	1452.5041	1487.83	1369.9494	1668.3667	1647.7421	1638.4508	1460.4662	2813.8251	2143.4437	3579.4198	1894.9856	2913.6917	1206.987	1751.7628	1053.7039	2090.579	1459.4356	1575.4595	2322.8108	1878.0187	2279.3957	1286.0633	2024.0693	1841.6136
PWY-6125	781.5521	1027.6887	873.159	906.6692	1011.6791	344.4201	618.4923	1427.147	785.1412	1103.4287	834.6343	833.9987	674.5727	421.1497	406.7254	507.0194	747.4366	792.731	1303.2617	1050.1922	1331.2921	754.6527	1247.6353	230.5786
PWY-6126	1437.1931	1784.8693	1468.4419	1673.9873	1762.4964	1711.3731	1563.4177	3132.8337	2224.6855	3883.6365	2158.4649	2768.6127	1643.835	2075.1571	1201.9453	2287.5797	1464.1028	1561.1067	2271.4159	1817.7014	2192.2392	1258.1631	2106.9742	1853.2387
PWY-6147	1383.8864	1624.3019	1393.5917	1262.9844	1698.5934	1633.0268	1350.2635	2372.1744	1978.7754	3300.0164	1687.8736	1441.0769	996.1865	1707.2911	908.778	1975.2005	1443.325	1580.2717	2281.4799	1878.8901	2276.6268	1173.9035	1996.1816	1777.0395
PWY-6151	1268.9432	1487.83	1268.2428	1504.88	1520.9353	1596.5581	1330.4533	2622.0205	1907.8353	3279.7551	1759.9006	2776.348	1394.3183	1756.6416	1009.3945	1958.8537	1268.9812	1413.401	2053.6609	1667.9987	2020.7012	1016.8008	1765.0739	1700.6009
PWY-6163	1387.6079	1510.1991	1348.257	1686.3903	1540.9414	1636.3921	1314.6461	2304.2671	1873.2187	3321.9034	1793.9423	3112.4383	913.331	1691.1425	1004.8284	1863.5764	1341.1069	1415.454	2028.7575	1744.1139	2123.6886	1181.4995	1896.8567	1715.0658
PWY-621	538.5593	1699.1792	1286.9609	1488.9178	907.7897	1551.2122	800.3035	2008.9602	870.6889	2340.6094	1575.0451	3431.7414	1145.4603	1160.1213	639.4055	880.3565	249.356	331.5446	496.9511	639.1162	934.2012	78.1653	804.0376	1272.1642
PWY-6263	190.59	0.0	20.7548	152.4995	66.995	41.1512	234.4746	61.82	55.3126	459.1249	286.7498	385.2705	104.6719	46.9843	178.3018	38.279	192.8226	34.6979	29.4	76.4853	66.589	110.5396	337.2537	63.7947
PWY-6269	534.5324	668.8875	712.5153	848.8541	542.0731	472.7808	146.0943	269.5361	137.5605	653.7171	469.7455	1444.6595	15.8341	296.2703	147.1725	168.2918	339.6613	426.3953	716.2324	730.0075	975.393	343.0314	712.1052	346.4856
PWY-6277	1520.1009	1655.2557	1429.4596	1758.6934	1731.0858	1825.8184	1672.8054	3118.7572	2311.9409	3693.1363	2075.5096	3373.3	1390.5627	1865.6881	1211.5419	2104.456	1522.464	1615.4456	2333.4681	1923.568	2314.9211	1340.5179	2129.4761	1838.4596
PWY-6317	490.5744	1290.4582	1036.4225	1228.0777	778.3937	1280.5386	705.5879	1804.2646	814.8873	2210.544	1431.5335	2790.5098	1106.8668	1184.9842	609.426	989.0983	236.895	311.0492	465.6991	584.8044	842.5398	76.8651	723.5364	1107.3441
PWY-6385	1340.0246	1533.1774	1309.6128	1588.6798	1562.2947	1668.1588	1444.7623	2817.3768	2018.2312	3551.1461	1957.2138	3009.8841	1483.5226	1857.8145	1098.8453	2053.5125	1337.9907	1433.3359	2078.6858	1706.1363	2063.5417	1154.9885	1886.1081	1761.1025
PWY-6386	1349.5403	1563.3286	1333.2133	1617.0119	1577.6979	1680.2837	1440.7569	2767.9641	1992.6917	3531.1574	1937.5281	3061.7979	1457.6384	1833.2429	1093.1847	2023.7124	1341.2334	1436.5182	2082.3556	1716.163	2079.2005	1155.7058	1900.0465	1769.978
PWY-6387	1343.5772	1544.9494	1318.9632	1599.5868	1568.4237	1683.0083	1454.7198	2851.7448	2034.4595	3579.4735	1979.1359	3042.1878	1499.6746	1874.2026	1106.7152	2068.1953	1339.8335	1436.0911	2083.1114	1710.6468	2070.0275	1155.6324	1891.4394	1772.2623
PWY-6467	1096.0	880.83	798.5	943.5	1243.75	1029.67	1076.67	2044.42	1740.83	2453.33	1199.5	1208.25	858.75	1364.42	785.92	1697.08	1183.67	1321.42	1917.17	1479.33	1740.0	958.42	1502.58	1254.67
PWY-6471	0.0	72.1227	78.188	35.4576	21.939	679.4785	543.3623	1494.1863	651.5108	1524.2453	1006.2998	645.7867	978.9205	852.4645	358.2858	788.6846	54.9712	138.4263	227.0909	99.7867	87.6858	35.9979	16.0627	616.6871
PWY-6507	1143.1836	1055.4255	899.3468	1416.2995	1301.7063	1130.2287	1089.4288	1717.8087	1415.347	2024.4521	1157.3927	2780.1521	964.415	1309.1792	910.1568	1264.3314	1134.3356	1217.9087	1702.2807	1466.297	1761.4427	907.9641	1496.2323	896.7284
PWY-6545	254.1808	0.0	308.9153	361.3293	366.104	187.9239	313.9168	829.6394	462.4239	679.0338	488.1159	346.5231	239.6559	250.3716	170.4067	313.8805	305.2839	193.162	337.7776	151.7553	188.5594	370.6266	533.8926	138.0628
PWY-6588	117.1765	197.5634	68.4893	0.0	49.2372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.7861	81.7433	112.7894	95.7485	52.8467	22.4959	209.9362	0.0
PWY-6609	1352.0	2004.83	1503.5	1690.5	1793.25	1580.6117	1393.3282	2536.7074	1901.7459	3253.5202	1740.7386	2870.9855	1241.5784	1628.463	1028.5669	1854.2444	1373.67	1446.42	2109.17	1691.33	2057.0	1155.42	2071.08	1677.7428
PWY-6612	1075.7652	1324.9892	1187.0156	1161.499	1347.7096	868.6769	568.5762	1973.0386	1574.2185	2688.2039	1223.4026	142.4104	307.3017	1242.0566	201.0291	1697.7294	1079.2341	1251.2524	1900.1049	1499.5229	1856.2274	886.1266	1582.4551	1475.914
PWY-6700	1391.3181	1188.7479	1066.4412	1310.9457	1545.3643	1360.2725	1412.5934	2541.9277	2086.0522	3196.8873	1634.4293	1929.4241	1107.4018	1659.2139	1030.4972	2004.7231	1464.8473	1558.007	2254.3929	1789.1312	2116.629	1287.1614	1944.1853	1587.5663
PWY-6703	1194.2742	979.8905	885.8924	1033.0083	1322.1377	1127.3887	1190.833	2105.449	1778.9367	2733.6004	1380.6845	1355.2478	895.75	1427.3419	855.4191	1736.0868	1278.22	1348.8641	1947.7396	1545.5134	1822.538	1135.8878	1683.7405	1343.8335
PWY-6737	1774.7216	1969.3467	1704.82	2040.4876	2157.2961	2062.3638	1734.4467	3224.2088	2626.3654	4153.8323	2188.972	3398.9505	1349.5507	2285.5924	1312.7157	2579.3594	1810.4553	1992.0545	2869.0371	2366.6536	2881.9359	1421.1852	2433.6774	2177.0191
PWY-6891	308.5415	0.0	33.0168	232.3819	105.3032	65.5127	368.4327	98.1128	88.3738	708.0219	443.61	569.8378	161.3521	74.7024	275.1727	60.9161	328.3805	56.1353	47.256	123.8735	106.9036	579.3039	517.5252	100.636
PWY-6892	1306.2457	1223.2943	1151.4547	1160.4272	1372.0104	1499.9325	1318.6782	2064.846	1592.998	2722.6371	1696.4996	1746.108	1016.8507	1540.0786	962.2122	1396.9941	1261.996	1304.5034	1804.8443	1687.5471	2035.1909	1153.5436	1783.7013	1169.6507
PWY-6895	837.9731	0.0	147.7058	674.9204	418.1386	277.0341	921.32	424.5282	377.9047	1880.5754	1090.8216	1246.4527	514.8823	319.3741	682.8205	271.0638	886.4454	246.3753	218.2504	491.1497	449.0783	1070.7948	1287.3145	397.7027
PWY-6897	1424.4525	1241.7123	1107.6157	1319.0145	1602.5938	1401.5305	1423.5188	2522.3212	2086.4285	3259.4209	1698.2439	1849.0639	1137.7796	1759.6772	1061.2693	2045.4776	1504.022	1579.1862	2265.5939	1837.8456	2183.5365	1318.0833	1994.3573	1575.9291
PWY-6901	487.2771	336.7261	675.1207	578.3467	699.7592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293.8549	383.4412	549.6232	624.4526	820.6984	137.4278	821.0044	0.0
PWY-6969	406.1076	0.0	587.1876	867.494	50.3661	925.6375	372.3445	984.2534	611.9663	1600.8485	1067.6625	1695.6779	33.7731	821.7785	355.2186	628.8101	60.4552	148.7403	148.5172	480.5309	678.2647	52.1174	109.5518	807.0168
PWY-7003	0.0	48.1569	45.9616	0.0	28.3728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.1227	88.5142	134.5318	60.268	48.7201	26.6856	11.7466	0.0
PWY-7111	1587.1771	1841.4178	1538.2454	1906.0398	1819.103	1834.936	1642.4356	2852.7093	2147.3166	3746.9882	2139.3268	3568.7521	1252.3793	1900.659	1243.1906	2108.7895	1565.2025	1610.1675	2313.7742	1956.2313	2373.2175	1447.2738	2273.2973	1892.3839
PWY-7184	291.608	757.2765	505.3834	462.957	587.6377	207.0611	399.5542	967.2531	494.4058	704.4824	555.431	507.5468	473.8097	270.5516	264.8171	321.2749	338.7458	205.4793	356.5712	161.414	200.7606	406.5877	714.9428	139.0137
PWY-7187	337.0567	888.7394	591.5873	544.5958	677.7669	303.3813	504.7557	1227.2342	634.8755	1014.7248	762.3153	681.5268	665.3526	436.5265	361.4726	489.5343	393.6327	234.5194	402.3129	181.9482	225.9416	461.2844	818.9633	221.0708
PWY-7196	845.2298	1081.7319	948.9745	1012.1543	1077.9222	335.111	625.0855	1430.5858	783.5161	1085.3329	833.2733	866.644	657.0688	405.6232	406.5229	490.2544	789.9349	841.4296	1407.1931	1147.4749	1470.8943	814.7515	1339.0888	219.751
PWY-7197	473.9773	630.8313	560.9253	571.939	622.4684	167.9829	323.6553	816.2234	400.9371	594.5973	476.0313	423.7404	406.0532	230.7592	219.7006	270.9901	432.7686	458.3638	806.3036	656.3248	861.0665	482.7841	787.1149	114.8436
PWY-7199	1196.211	1455.4676	1157.7236	1367.5784	1487.9382	1331.1588	1182.9238	2166.015	1685.0195	2708.8854	1429.0101	2282.3851	1060.0445	1503.4152	907.7135	1659.3501	1206.9424	1334.8702	1918.2766	1560.1185	1876.0141	948.3243	1704.6336	1381.0744
PWY-7200	382.7454	831.4194	597.4456	587.9121	697.5395	267.6119	470.6403	1120.7909	596.2959	892.6976	665.455	651.7743	561.5841	362.2856	326.5034	423.0116	427.8928	283.5095	486.9784	233.2821	290.3835	484.743	845.7841	188.9454
PWY-7208	1557.2386	1845.0522	1545.1074	1859.9176	1840.8663	1945.1603	1702.5383	3411.6775	2395.0697	4276.4456	2392.5905	3510.2976	1819.0984	2266.5098	1314.8484	2482.4331	1562.699	1648.2529	2392.3962	1956.257	2365.1879	1371.6879	2231.5815	2055.912
PWY-7211	0.0	0.0	0.0	0.0	0.0	107.8634	145.9212	846.1443	502.417	569.8041	497.3359	0.0	0.0	325.7956	145.3535	371.4422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0288
PWY-7219	1562.4619	1775.4623	1523.5775	1849.6414	1811.5123	1910.1766	1640.1236	3219.2595	2329.1618	4083.8764	2266.3903	3461.5037	1629.608	2147.9561	1254.6743	2366.6533	1551.0719	1660.0219	2410.753	1988.9648	2408.8138	1347.7783	2196.8339	2011.2116
PWY-7220	1298.3964	1981.2735	1404.8629	1485.8464	1793.7222	1502.8286	1492.6498	3147.9315	2136.49	3645.3209	2029.599	2185.3546	1781.3021	1992.6873	1147.1	2236.25	1375.9621	1449.2954	2129.4384	1630.5046	1957.5679	1155.7043	2064.3636	1677.5517
PWY-7221	1297.396	1490.0698	1275.7381	1328.5867	1535.9967	1655.7339	1457.6399	2965.6538	2103.1886	3620.3051	2027.4966	2188.6467	1522.9603	1928.3876	1092.8177	2138.076	1333.156	1428.5887	2073.2054	1691.3141	2040.4908	1153.9142	1861.8243	1748.4796
PWY-7222	1298.3964	1981.2735	1404.8629	1485.8464	1793.7222	1502.8286	1492.6498	3147.9315	2136.49	3645.3209	2029.599	2185.3546	1781.3021	1992.6873	1147.1	2236.25	1375.9621	1449.2954	2129.4384	1630.5046	1957.5679	1155.7043	2064.3636	1677.5517
PWY-7228	724.5224	947.5716	806.4878	828.5285	942.6863	302.2635	562.7253	1308.4299	710.1681	982.0909	751.9589	735.4727	612.656	370.6887	365.7327	448.3902	694.1078	735.5216	1223.1935	979.2195	1243.824	712.7189	1168.8635	200.7676
PWY-7229	1480.4056	1846.3039	1506.8865	1758.7503	1806.3856	1802.3124	1590.8833	3197.8058	2261.6866	3978.3255	2215.7744	3061.8575	1687.6575	2118.2488	1224.9082	2331.5425	1488.9874	1586.8939	2310.699	1874.9322	2269.3461	1278.1135	2153.525	1923.3442
PWY-7234	0.0	52.7243	52.5918	35.4796	35.4741	421.8535	602.5282	1492.588	700.5663	591.4295	527.0306	826.416	796.6357	114.7435	308.8746	258.3663	58.3617	140.8212	270.4547	70.1565	58.9352	35.3217	11.9518	260.2236
