pathway	sequence	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
PWY-7111	cebb9cfc1d8430f13650adacf98b0a61	0.0	0.0	0.0	0.0	0.0	48.0018	23.143725	67.716825	30.8583	38.572875	20.00075	5.7145	60.5737	18.85785	38.287150000000004	8.857475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.429075000000001
PWY-7111	cfe4029cc35d2695cf0ce8c5ff332956	19.715025	68.00255	31.429750000000002	31.429750000000002	33.429825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.715175000000002	42.001575	29.715400000000002	13.429075000000001	16.857775	9.428925	42.85875	0.0
PWY-7111	d307aef8086bbdb1c3e4f3d5511412dc	3.142975	19.715025	9.1432	7.428850000000001	14.000525	26.2867	12.00045	88.0033	4.00015	92.860625	50.85905	3.142975	2.5715250000000003	54.573475	0.57145	79.43155	44.287375000000004	30.572575	44.858825	13.429075000000001	10.85755	12.00045	19.143575000000002	44.858825
PWY-7111	d6cecaaf52a711cc96417a5334067830	53.14485	76.28857500000001	4.857325	25.71525	45.14455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.28685	24.0009	21.7151	33.71555	34.572725	30.8583	57.71645	0.0
PWY-7111	daac2b933e609bc0b483a4c25c92a055	0.0	0.0	0.0	0.0	0.0	23.143725	27.4296	17.71495	22.286550000000002	26.2867	49.71615	28.00105	28.858225	46.573175	28.858225	27.4296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.286550000000002
PWY-7111	de1be320837d0ac367b4ccef7f7ef44c	0.57145	0.0	0.0	0.0	0.0	44.858825	61.14515	18.2864	1.71435	21.7151	7.428850000000001	83.145975	58.002175	22.858	46.28745	3.7144250000000003	2.000075	0.0	0.857175	0.0	3.142975	3.142975	2.2858	11.143275000000001
PWY-7111	e6380dc8bedb392a5c2139c21c26a7e4	326.8694	0.0	249.1522	294.8682	268.5815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.29510000000002	356.58480000000003	642.3098	569.1642	755.4569	252.5809	365.728	0.0
PWY-7111	f3e89fa547a772288e6624c88135a47f	0.0	0.0	0.0	0.0	0.0	78.002925	22.572275	2.5715250000000003	87.43185	11.714725	0.0	147.4341	124.5761	0.0	160.863175	3.7144250000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.857325
PWY-7111	f5b23f626e3f2d2d1213f83c6de3e385	19.143575000000002	11.714725	4.857325	3.7144250000000003	4.00015	26.2867	9.71465	19.715025	6.571675	28.286775000000002	42.001575	19.715025	34.85845	20.572200000000002	32.0012	35.715625	4.5716	4.857325	9.428925	13.429075000000001	16.286325	7.143125	33.429825	12.286175
PWY-7111	ff33233ffebbe6e3720af8bba7e89f08	68.288275	61.430875	41.430125000000004	52.5734	94.28925	28.5725	54.573475	64.28812500000001	88.86047500000001	56.287825	31.144025	47.716075000000004	10.286100000000001	42.573025	13.7148	24.0009	58.85935	46.8589	51.4305	86.28895	84.5746	49.430425	84.860325	14.28625
PWY-7184	20e568023c10eaac834f1c110aacea18	29.25	581.625	258.75	162.0	286.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.375	27.0	54.0	3.375	21.375	3.375	231.75	0.0
PWY-7184	c9e3a646d6b14e727ec78e0abe6aa878	0.0	10.125	10.125	6.75	6.75	95.625	156.375	435.375	168.75	124.875	121.5	191.25	264.375	22.5	72.0	52.875	11.25	28.125	55.125	13.5	11.25	6.75	2.25	54.0
PWY-7187	20e568023c10eaac834f1c110aacea18	28.8886	574.4387	255.553	159.9984	283.3305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.7773	26.6664	53.3328	3.3333	21.1109	3.3333	228.8866	0.0
PWY-7187	c9e3a646d6b14e727ec78e0abe6aa878	0.0	9.0	9.0	6.0	6.0	85.0	139.0	387.0	150.0	111.0	108.0	170.0	235.0	20.0	64.0	47.0	10.0	25.0	49.0	12.0	10.0	6.0	2.0	48.0
PWY-7196	20e568023c10eaac834f1c110aacea18	32.1178	638.6501000000001	284.119	177.88320000000002	315.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.117900000000006	29.6472	59.2944	3.7059	23.4707	3.7059	254.4718	0.0
PWY-7196	e6380dc8bedb392a5c2139c21c26a7e4	348.1764	0.0	265.39320000000004	314.0892	286.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.61060000000003	379.8288	684.1788	606.2652	804.7014	269.04540000000003	389.568	0.0
PWY-7197	20e568023c10eaac834f1c110aacea18	26.0	517.0	230.0	144.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	24.0	48.0	3.0	19.0	3.0	206.0	0.0
PWY-7197	749f091c6dfc58f7a48d89cf4c0f3049	75.0	0.0	7.0	55.0	23.0	14.0	92.0	21.0	19.0	173.0	109.0	146.0	37.0	16.0	69.0	13.0	81.0	12.0	10.0	27.0	23.0	174.0	131.0	22.0
